Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
ЮСТ-Б-2-Д-2024-2;Вт;10.12.2024;12.10 - 13.40;Иностранный язык (1 подгруппа);Практическое занятие;Ольшевская Екатерина Николаевна;154
ЮСТ-Б-2-Д-2024-2;Вт;10.12.2024;12.10 - 13.40;Иностранный язык (3 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
ЮСТ-Б-2-Д-2024-2;Вт;10.12.2024;13.50 - 15.20;Философия;Лекция;Торканевский Андрей Анатольевич;312
МЕН-М-5-Д-2024-1;Вт;10.12.2024;10.10 - 11.40;Культурно-исторический опыт России;Практическое занятие;Шевченко Кирилл Владимирович;202
МЕН-М-5-Д-2024-1;Вт;10.12.2024;12.10 - 13.40;Культурно-исторический опыт России;Практическое занятие;Шевченко Кирилл Владимирович;202
МЕН-М-5-Д-2024-1;Вт;10.12.2024;13.50 - 15.20;Основы современного менеджмента;Практическое занятие;Стрижевич Александра Сергеевна;202
МЕН-М-5-Д-2024-1;Вт;10.12.2024;15.30 - 17.00;Введение в маркетинг;Практическое занятие;Стрижевич Александра Сергеевна;202
ПСИ-Б-04-В-2024-2;Вт;10.12.2024;18.50 - 20.20;"Общественный проект ""Обучение служением""";Практическое занятие;Самусевич Ольга Михайловна;156
ПСИ-Б-04-В-2024-2;Вт;10.12.2024;20.30 - 22.00;"Общественный проект ""Обучение служением""";Практическое занятие;Самусевич Ольга Михайловна;156
ПСИ-М-9-В-2024-1;Вт;10.12.2024;18.50 - 20.20;Психология влияния и манипулирования в социальных сетях и СМИ;Практическое занятие;Сутович Елена Иосифовна;310
ПСИ-М-9-В-2024-1;Вт;10.12.2024;20.30 - 22.00;Психология влияния и манипулирования в социальных сетях и СМИ;Практическое занятие;Сутович Елена Иосифовна;310
КФЛ-Б-0-Д-2021-1;Вт;10.12.2024;15.30 - 17.00;Психология труда. Психологическое консультирование, медиация и коучинг в сфере трудовых отношений;Практическое занятие;Сутович Елена Иосифовна;310
КФЛ-Б-0-Д-2021-1;Вт;10.12.2024;17.10 - 18.40;Психология труда. Психологическое консультирование, медиация и коучинг в сфере трудовых отношений;Практическое занятие;Сутович Елена Иосифовна;310
СРБ-Б-04-Д-2021-1;Вт;10.12.2024;13.50 - 15.20;Прогнозирование, проектирование и моделирование в социальной работе;Практическое занятие;Игнатовец Людмила Михайловна;406
СРБ-Б-04-Д-2021-1;Вт;10.12.2024;15.30 - 17.00;Опека и попечительство;Практическое занятие;Бочарова Ольга Станиславовна;406
СРБ-Б-04-Д-2021-1;Вт;10.12.2024;17.10 - 18.40;Опека и попечительство;Практическое занятие;Бочарова Ольга Станиславовна;406
МЕН-Б-3-Д-2023-2;Вт;10.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
МЕН-Б-3-Д-2023-2;Вт;10.12.2024;13.50 - 15.20;Правовые основы экономико-управленческой деятельности;Практическое занятие;Пыталев Роман Михайлович;405
МЕН-Б-3-Д-2023-2;Вт;10.12.2024;15.30 - 17.00;Правовые основы экономико-управленческой деятельности;Практическое занятие;Пыталев Роман Михайлович;405
МЕН-Б-3-Д-2023-2;Вт;10.12.2024;17.10 - 18.40;Основы менеджмента;Практическое занятие;Нарвойш Юлия Александровна;405
МЕН-Б-3-Д-2023-2;Вт;10.12.2024;18.50 - 20.20;Институциональная экономика;Практическое занятие;Корнелюк Наталья Николаевна;405
МЕН-Б-3-Д-2023-2;Вт;10.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
МЕН-Б-3-Д-2023-2;Вт;10.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-Д-2023-2;Вт;10.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
ПСИ-Б-04-Д-2023-2;Вт;10.12.2024;13.50 - 15.20;Психология личности;Практическое занятие;Станкевич Татьяна Ивановна;204
ПСИ-Б-04-Д-2023-2;Вт;10.12.2024;15.30 - 17.00;Психология личности;Практическое занятие;Станкевич Татьяна Ивановна;204
ПСИ-Б-04-Д-2023-2;Вт;10.12.2024;17.10 - 18.40;Социальная психология;Практическое занятие;Чернявская Ирина Юрьевна;204
ПСИ-Б-04-Д-2023-2;Вт;10.12.2024;18.50 - 20.20;Социальная психология;Практическое занятие;Чернявская Ирина Юрьевна;204
ЮСТ-Б-2-Д-2023-2;Вт;10.12.2024;13.50 - 15.20;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ЮСТ-Б-2-Д-2023-2;Вт;10.12.2024;15.30 - 17.00;Административное право;Лекция;Климченя Вячеслав Сергеевич;312
ЮСТ-Б-2-Д-2023-2;Вт;10.12.2024;17.10 - 18.40;Конституционное право;Лекция;Пыталев Роман Михайлович;219
ЮСТ-Б-2-Д-2023-2;Вт;10.12.2024;18.50 - 20.20;Конституционное право;Лекция;Пыталев Роман Михайлович;315
ЮСТ-Б-2-Д-2023-2;Вт;10.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
ПСИ-Б-04-В-2023-2;Вт;10.12.2024;18.50 - 20.20;Психология общения с практикумом;Практическое занятие;Шлимаков Максим Сергеевич;103
ПСИ-Б-04-В-2023-2;Вт;10.12.2024;20.30 - 22.00;Общая психология;Практическое занятие;Ахунова Ирина Георгиевна;103
МЕН-Б-3-Д-2022-2;Вт;10.12.2024;08.30 - 10.00;Управление проектами;Лекция;Ворошилина Наталья Николаевна;219
МЕН-Б-3-Д-2022-2;Вт;10.12.2024;10.10 - 11.40;Управление проектами;Лекция;Ворошилина Наталья Николаевна;219
МЕН-Б-3-Д-2022-2;Вт;10.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
МЕН-Б-3-Д-2022-1;Вт;10.12.2024;08.30 - 10.00;Управление проектами;Лекция;Ворошилина Наталья Николаевна;219
МЕН-Б-3-Д-2022-1;Вт;10.12.2024;10.10 - 11.40;Управление проектами;Лекция;Ворошилина Наталья Николаевна;219
МЕН-Б-3-Д-2022-1;Вт;10.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
СРБ-Б-04-Д-2022-1;Вт;10.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
СРБ-Б-04-Д-2022-1;Вт;10.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ЮСТ-Б-2-Д-2022-1;Вт;10.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ЮСТ-Б-2-Д-2022-1;Вт;10.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
ПСИ-Б-01-Д-2021-1;Вт;10.12.2024;15.30 - 17.00;Социально-психологический тренинг;Практическое занятие;Семёнова Елена Михайловна;104
ПСИ-Б-01-Д-2021-1;Вт;10.12.2024;17.10 - 18.40;Психологическое консультирование и медиация в переговорном процессе;Практическое занятие;Шингель Александр Леонидович;104
ПСИ-Б-01-Д-2021-1;Вт;10.12.2024;18.50 - 20.20;Психологическое консультирование и медиация в переговорном процессе;Практическое занятие;Шингель Александр Леонидович;104
ПСИ-Б-01-Д-2021-2;Вт;10.12.2024;13.50 - 15.20;Психологическое консультирование и медиация в переговорном процессе;Практическое занятие;Шингель Александр Леонидович;309
ПСИ-Б-01-Д-2021-2;Вт;10.12.2024;15.30 - 17.00;Психологическое консультирование и медиация в переговорном процессе;Практическое занятие;Шингель Александр Леонидович;309
ПСИ-Б-01-Д-2021-2;Вт;10.12.2024;17.10 - 18.40;Социально-психологический тренинг;Практическое занятие;Семёнова Елена Михайловна;309
МЕН-Б-3-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Испанский);Практическое занятие;Шлимаков Максим Сергеевич;406
МЕН-Б-3-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Французский);Практическое занятие;Ольшевская Екатерина Николаевна;310
МЕН-Б-3-Д-2023-1;Ср;11.12.2024;15.30 - 17.00;Институциональная экономика;Практическое занятие;Корнелюк Наталья Николаевна;203
МЕН-Б-3-Д-2023-1;Ср;11.12.2024;17.10 - 18.40;Основы менеджмента;Практическое занятие;Нарвойш Юлия Александровна;203
МЕН-Б-3-Д-2023-1;Ср;11.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-Д-2023-1;Ср;11.12.2024;12.10 - 13.40;Иностранный язык (2 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
ПСИ-Б-04-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (1 подгруппа);Практическое занятие;Максименко Анна Маратовна;405
ПСИ-Б-04-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Испанский);Практическое занятие;Шлимаков Максим Сергеевич;406
ПСИ-Б-04-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (2 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
ПСИ-Б-04-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Французский);Практическое занятие;Ольшевская Екатерина Николаевна;310
ПСИ-Б-04-Д-2023-1;Ср;11.12.2024;15.30 - 17.00;Общая психология;Лекция;Ахунова Ирина Георгиевна;312
ПСИ-Б-04-Д-2023-1;Ср;11.12.2024;17.10 - 18.40;Психология безопасности;Практическое занятие;Шингель Александр Леонидович;312
ПСИ-Б-04-Д-2023-1;Ср;11.12.2024;18.50 - 20.20;Гендерная психология. Теория и практика;Практическое занятие;Самаль Елена Викторовна;312
ПСИ-Б-04-Д-2023-1;Ср;11.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
СРБ-Б-04-Д-2023-1;Ср;11.12.2024;12.10 - 13.40;Иностранный язык (2 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
СРБ-Б-04-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Испанский);Практическое занятие;Шлимаков Максим Сергеевич;406
СРБ-Б-04-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (2 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
СРБ-Б-04-Д-2023-1;Ср;11.12.2024;15.30 - 17.00;Социальная педагогика;Практическое занятие;Короткевич Татьяна Николаевна;316
СРБ-Б-04-Д-2023-1;Ср;11.12.2024;17.10 - 18.40;Социальная педагогика;Практическое занятие;Короткевич Татьяна Николаевна;316
СРБ-Б-04-Д-2023-1;Ср;11.12.2024;18.50 - 20.20;Основы социально-реабилитационной работы;Практическое занятие;Короткевич Татьяна Николаевна;316
ЮСТ-Б-2-Д-2023-1;Ср;11.12.2024;12.10 - 13.40;Иностранный язык (2 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
ЮСТ-Б-2-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Испанский);Практическое занятие;Шлимаков Максим Сергеевич;406
ЮСТ-Б-2-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (2 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
ЮСТ-Б-2-Д-2023-1;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Французский);Практическое занятие;Ольшевская Екатерина Николаевна;310
ЮСТ-Б-2-Д-2023-1;Ср;11.12.2024;15.30 - 17.00;Уголовное право;Лекция;Климова Евгения Ивановна;315
ЮСТ-Б-2-Д-2023-1;Ср;11.12.2024;17.10 - 18.40;Уголовное право;Лекция;Климова Евгения Ивановна;315
ЮСТ-Б-2-Д-2023-1;Ср;11.12.2024;18.50 - 20.20;Гражданское право;Лекция;Климченя Вячеслав Сергеевич;315
ЮСТ-Б-2-Д-2023-1;Ср;11.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-В-2023-1;Ср;11.12.2024;18.50 - 20.20;Введение в конфликтологию;Практическое занятие;Хомич Нина Кондратьевна;154
ПСИ-Б-04-В-2023-1;Ср;11.12.2024;20.30 - 22.00;Иностранный язык;Практическое занятие;Максименко Анна Маратовна;154
МЕН-Б-3-Д-2024-1;Ср;11.12.2024;13.50 - 15.20;Традиционные ценности: основа российского общества;Практическое занятие;Саболевский Илья Русланович;221
МЕН-Б-3-Д-2024-1;Ср;11.12.2024;15.30 - 17.00;История России;Практическое занятие;Козик Любовь Антоновна;221
МЕН-Б-3-Д-2024-1;Ср;11.12.2024;17.10 - 18.40;Иностранный язык (2 подгруппа);Практическое занятие;Максименко Анна Маратовна;103
МЕН-Б-3-Д-2024-1;Ср;11.12.2024;17.10 - 18.40;Иностранный язык (1 подгруппа);Практическое занятие;Ольшевская Екатерина Николаевна;221
МЕН-Б-3-Д-2024-1;Ср;11.12.2024;17.10 - 18.40;Иностранный язык (3 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;156
МЕН-Б-3-Д-2024-2;Ср;11.12.2024;12.10 - 13.40;Физическая культура и спорт;Практическое занятие;Данилевич Наталья Валерьевна;103
МЕН-Б-3-Д-2024-2;Ср;11.12.2024;13.50 - 15.20;Физическая культура и спорт;Практическое занятие;Данилевич Наталья Валерьевна;103
МЕН-Б-3-Д-2024-2;Ср;11.12.2024;15.30 - 17.00;Традиционные ценности: основа российского общества;Практическое занятие;Саболевский Илья Русланович;103
МЕН-Б-3-Д-2024-2;Ср;11.12.2024;17.10 - 18.40;Иностранный язык (2 подгруппа);Практическое занятие;Максименко Анна Маратовна;103
МЕН-Б-3-Д-2024-2;Ср;11.12.2024;17.10 - 18.40;Иностранный язык (1 подгруппа);Практическое занятие;Ольшевская Екатерина Николаевна;221
МЕН-Б-3-Д-2024-2;Ср;11.12.2024;17.10 - 18.40;Иностранный язык (3 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;156
ПСИ-Б-04-Д-2024-1;Ср;11.12.2024;08.30 - 10.00;Зоопсихология и сравнительная психология;Практическое занятие;Фищук Юлия Сергеевна;154
ПСИ-Б-04-Д-2024-1;Ср;11.12.2024;10.10 - 11.40;Зоопсихология и сравнительная психология;Практическое занятие;Фищук Юлия Сергеевна;154
ПСИ-Б-04-Д-2024-1;Ср;11.12.2024;12.10 - 13.40;Эмоционально-волевое регулирование деятельности и общения;Практическое занятие;Семёнова Елена Михайловна;156
ПСИ-Б-04-Д-2024-1;Ср;11.12.2024;13.50 - 15.20;Эмоционально-волевое регулирование деятельности и общения;Практическое занятие;Семёнова Елена Михайловна;156
ПСИ-Б-04-Д-2024-1;Ср;11.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-Д-2024-2;Ср;11.12.2024;08.30 - 10.00;Эмоционально-волевое регулирование деятельности и общения;Практическое занятие;Семёнова Елена Михайловна;156
ПСИ-Б-04-Д-2024-2;Ср;11.12.2024;10.10 - 11.40;Эмоционально-волевое регулирование деятельности и общения;Практическое занятие;Семёнова Елена Михайловна;156
ПСИ-Б-04-Д-2024-2;Ср;11.12.2024;12.10 - 13.40;Зоопсихология и сравнительная психология;Практическое занятие;Фищук Юлия Сергеевна;154
ПСИ-Б-04-Д-2024-2;Ср;11.12.2024;13.50 - 15.20;Зоопсихология и сравнительная психология;Практическое занятие;Фищук Юлия Сергеевна;154
ПСИ-Б-04-Д-2024-2;Ср;11.12.2024;15.30 - 17.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
СРБ-Б-04-Д-2024-1;Ср;11.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
СРБ-Б-04-Д-2024-1;Ср;11.12.2024;13.50 - 15.20;История социальной работы;Практическое занятие;Ершова Ольга Игоревна;203
СРБ-Б-04-Д-2024-1;Ср;11.12.2024;15.30 - 17.00;История социальной работы;Практическое занятие;Ершова Ольга Игоревна;156
СРБ-Б-04-Д-2024-1;Ср;11.12.2024;17.10 - 18.40;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ЮСТ-Б-2-Д-2024-1;Ср;11.12.2024;12.10 - 13.40;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;204
ЮСТ-Б-2-Д-2024-1;Ср;11.12.2024;13.50 - 15.20;История политических и правовых учений;Практическое занятие;Шевченко Кирилл Владимирович;204
ЮСТ-Б-2-Д-2024-1;Ср;11.12.2024;15.30 - 17.00;Физическая культура и спорт;Практическое занятие;Данилевич Наталья Валерьевна;204
ЮСТ-Б-2-Д-2024-2;Ср;11.12.2024;08.30 - 10.00;Традиционные ценности: основа российского общества;Практическое занятие;Саболевский Илья Русланович;204
ЮСТ-Б-2-Д-2024-2;Ср;11.12.2024;10.10 - 11.40;Социология;Практическое занятие;Андрейковец Елена Михайловна;204
ЮСТ-Б-2-Д-2024-2;Ср;11.12.2024;12.10 - 13.40;История политических и правовых учений;Практическое занятие;Шевченко Кирилл Владимирович;219
ЮСТ-Б-2-Д-2024-2;Ср;11.12.2024;13.50 - 15.20;Теория государства и права;Практическое занятие;Богатко Анна Григорьевна;219
ЮСТ-Б-2-Д-2024-2;Ср;11.12.2024;15.30 - 17.00;Безопасность жизнедеятельности;Практическое занятие;Шлимаков Максим Сергеевич;219
МЕН-М-5-Д-2024-1;Ср;11.12.2024;12.10 - 13.40;Управление бизнес-процессами и организационное проектирование;Практическое занятие;Корнелюк Наталья Николаевна;202
МЕН-М-5-Д-2024-1;Ср;11.12.2024;13.50 - 15.20;Управление бизнес-процессами и организационное проектирование;Практическое занятие;Корнелюк Наталья Николаевна;202
МЕН-М-5-Д-2024-1;Ср;11.12.2024;15.30 - 17.00;Искусственный интеллект и статистика больших данных;Лабораторная работа;Тарасевич Вадим Львович;202
МЕН-М-5-Д-2024-1;Ср;11.12.2024;17.10 - 18.40;Искусственный интеллект и статистика больших данных;Лабораторная работа;Тарасевич Вадим Львович;202
ПСИ-Б-04-В-2024-1;Ср;11.12.2024;18.50 - 20.20;Основы профилактики и противодействия терроризму и экстремизму;Практическое занятие;Ковальчишина Наталья Ивановна;219
ПСИ-Б-04-В-2024-1;Ср;11.12.2024;20.30 - 22.00;"Общественный проект ""Обучение служением""";Практическое занятие;Самусевич Ольга Михайловна;219
ПСИ-Б-04-В-2024-2;Ср;11.12.2024;18.50 - 20.20;"Общественный проект ""Обучение служением""";Практическое занятие;Самусевич Ольга Михайловна;156
ПСИ-Б-04-В-2024-2;Ср;11.12.2024;20.30 - 22.00;Основы профилактики и противодействия терроризму и экстремизму;Практическое занятие;Ковальчишина Наталья Ивановна;156
МЕН-Б-2-В-2021-1;Ср;11.12.2024;18.50 - 20.20;Проектная деятельность;Иная контактная работа;Стрижевич Александра Сергеевна;401
МЕН-Б-2-В-2021-1;Ср;11.12.2024;20.30 - 22.00;Проектная деятельность;Иная контактная работа;Стрижевич Александра Сергеевна;401
МЕН-Б-2-Д-2021-1;Ср;11.12.2024;15.30 - 17.00;Формирование марочного капитала;Практическое занятие;Врублевская-Токер Татьяна Ивановна;104
МЕН-Б-2-Д-2021-1;Ср;11.12.2024;17.10 - 18.40;Формирование марочного капитала;Практическое занятие;Врублевская-Токер Татьяна Ивановна;104
МЕН-Б-2-Д-2021-1;Ср;11.12.2024;18.50 - 20.20;Маркетинговые коммуникации;Практическое занятие;Врублевская-Токер Татьяна Ивановна;104
СРБ-Б-04-Д-2021-1;Ср;11.12.2024;15.30 - 17.00;Администрирование в социальной работе;Практическое занятие;Ворошилина Наталья Николаевна;406
СРБ-Б-04-Д-2021-1;Ср;11.12.2024;17.10 - 18.40;Проектная деятельность;Иная контактная работа;Игнатовец Людмила Михайловна;406
СРБ-Б-04-Д-2021-1;Ср;11.12.2024;18.50 - 20.20;Прогнозирование, проектирование и моделирование в социальной работе;Практическое занятие;Игнатовец Людмила Михайловна;406
ЮСТ-Б-2-Д-2021-1;Ср;11.12.2024;15.30 - 17.00;Адвокатура в РФ;Практическое занятие;Докунов Виталий Николаевич;310
ЮСТ-Б-2-Д-2021-1;Ср;11.12.2024;17.10 - 18.40;Адвокатура в РФ;Практическое занятие;Докунов Виталий Николаевич;310
ЮСТ-Б-2-Д-2021-1;Ср;11.12.2024;18.50 - 20.20;Трудовой договор;Практическое занятие;Свило Светлана Михайловна;101
ЮСТ-Б-2-Д-2021-1;Ср;11.12.2024;20.30 - 22.00;Право социального обеспечения;Практическое занятие;Свило Светлана Михайловна;101
ЮСТ-Б-2-Д-2021-2;Ср;11.12.2024;15.30 - 17.00;Право социального обеспечения;Практическое занятие;Свило Светлана Михайловна;101
ЮСТ-Б-2-Д-2021-2;Ср;11.12.2024;17.10 - 18.40;Трудовой договор;Практическое занятие;Свило Светлана Михайловна;101
ЮСТ-Б-2-Д-2021-2;Ср;11.12.2024;18.50 - 20.20;Адвокатура в РФ;Практическое занятие;Докунов Виталий Николаевич;204
ЮСТ-Б-2-Д-2021-2;Ср;11.12.2024;20.30 - 22.00;Адвокатура в РФ;Практическое занятие;Докунов Виталий Николаевич;204
МЕН-Б-3-Д-2023-2;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Испанский);Практическое занятие;Шлимаков Максим Сергеевич;406
МЕН-Б-3-Д-2023-2;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Французский);Практическое занятие;Ольшевская Екатерина Николаевна;310
МЕН-Б-3-Д-2023-2;Ср;11.12.2024;15.30 - 17.00;Основы менеджмента;Практическое занятие;Нарвойш Юлия Александровна;405
МЕН-Б-3-Д-2023-2;Ср;11.12.2024;17.10 - 18.40;Институциональная экономика;Практическое занятие;Корнелюк Наталья Николаевна;405
МЕН-Б-3-Д-2023-2;Ср;11.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-Д-2023-2;Ср;11.12.2024;12.10 - 13.40;Иностранный язык (2 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
ПСИ-Б-04-Д-2023-2;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Испанский);Практическое занятие;Шлимаков Максим Сергеевич;406
ПСИ-Б-04-Д-2023-2;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (2 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
ПСИ-Б-04-Д-2023-2;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Французский);Практическое занятие;Ольшевская Екатерина Николаевна;310
ПСИ-Б-04-Д-2023-2;Ср;11.12.2024;15.30 - 17.00;Общая психология;Лекция;Ахунова Ирина Георгиевна;312
ПСИ-Б-04-Д-2023-2;Ср;11.12.2024;17.10 - 18.40;Гендерная психология. Теория и практика;Практическое занятие;Самаль Елена Викторовна;212
ПСИ-Б-04-Д-2023-2;Ср;11.12.2024;18.50 - 20.20;Психология безопасности;Практическое занятие;Шингель Александр Леонидович;212
ПСИ-Б-04-Д-2023-2;Ср;11.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ЮСТ-Б-2-Д-2023-2;Ср;11.12.2024;12.10 - 13.40;Иностранный язык (2 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
ЮСТ-Б-2-Д-2023-2;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Испанский);Практическое занятие;Шлимаков Максим Сергеевич;406
ЮСТ-Б-2-Д-2023-2;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (2 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;316
ЮСТ-Б-2-Д-2023-2;Ср;11.12.2024;13.50 - 15.20;Иностранный язык (Французский);Практическое занятие;Ольшевская Екатерина Николаевна;310
ЮСТ-Б-2-Д-2023-2;Ср;11.12.2024;15.30 - 17.00;Уголовное право;Лекция;Климова Евгения Ивановна;315
ЮСТ-Б-2-Д-2023-2;Ср;11.12.2024;17.10 - 18.40;Уголовное право;Лекция;Климова Евгения Ивановна;315
ЮСТ-Б-2-Д-2023-2;Ср;11.12.2024;18.50 - 20.20;Гражданское право;Лекция;Климченя Вячеслав Сергеевич;315
ЮСТ-Б-2-Д-2023-2;Ср;11.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-В-2023-2;Ср;11.12.2024;18.50 - 20.20;Иностранный язык;Практическое занятие;Максименко Анна Маратовна;103
ПСИ-Б-04-В-2023-2;Ср;11.12.2024;20.30 - 22.00;Введение в конфликтологию;Практическое занятие;Хомич Нина Кондратьевна;103
ПСИ-М-9-В-2024-1;Ср;11.12.2024;18.50 - 20.20;Статистические методы в психологии;Практическое занятие;Семёнова Елена Михайловна;401
ПСИ-М-9-В-2024-1;Ср;11.12.2024;20.30 - 22.00;Статистические методы в психологии;Практическое занятие;Семёнова Елена Михайловна;401
МЕН-Б-3-Д-2022-2;Ср;11.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
МЕН-Б-3-Д-2022-2;Ср;11.12.2024;10.10 - 11.40;Проектная деятельность;Иная контактная работа;Сретенский Никита Сергеевич;103
МЕН-Б-3-Д-2022-2;Ср;11.12.2024;12.10 - 13.40;Государственная и муниципальная служба;Практическое занятие;Саболевский Илья Русланович;203
МЕН-Б-3-Д-2022-2;Ср;11.12.2024;13.50 - 15.20;Социоинженерные подходы в проектном управлении;Лекция;Щемелева Елена Владимировна;312
МЕН-Б-3-Д-2022-1;Ср;11.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Настольный теннис);Практическое занятие;Широканова Лидия Ивановна;148 Спортивный зал
МЕН-Б-3-Д-2022-1;Ср;11.12.2024;10.10 - 11.40;Государственная и муниципальная служба;Практическое занятие;Саболевский Илья Русланович;203
МЕН-Б-3-Д-2022-1;Ср;11.12.2024;12.10 - 13.40;Проектная деятельность;Иная контактная работа;Сретенский Никита Сергеевич;104
МЕН-Б-3-Д-2022-1;Ср;11.12.2024;13.50 - 15.20;Социоинженерные подходы в проектном управлении;Лекция;Щемелева Елена Владимировна;312
СРБ-Б-04-Д-2022-1;Ср;11.12.2024;10.10 - 11.40;Основы фандрейзинга в социальной сфере;Лекция;Щемелева Елена Владимировна;401
