Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
ЮСТ-Б-2-Д-2022-1;Пн;02.12.2024;12.10 - 13.40;Арбитражный процесс;Практическое занятие;Докунов Виталий Николаевич;405
ПСИ-Б-01-Д-2021-1;Пн;02.12.2024;13.50 - 15.20;Теория и практика социально-психологического тренинга в образовании, управлении и бизнесе;Практическое занятие;Реут Вероника Геннадьевна;104
ПСИ-Б-01-Д-2021-1;Пн;02.12.2024;15.30 - 17.00;Организационная психология;Практическое занятие;Сутович Елена Иосифовна;104
ПСИ-Б-01-Д-2021-1;Пн;02.12.2024;17.10 - 18.40;Социально-психологический тренинг;Практическое занятие;Семёнова Елена Михайловна;104
ПСИ-Б-01-Д-2021-2;Пн;02.12.2024;15.30 - 17.00;Социально-психологический тренинг;Практическое занятие;Семёнова Елена Михайловна;309
ПСИ-Б-01-Д-2021-2;Пн;02.12.2024;17.10 - 18.40;Организационная психология;Практическое занятие;Сутович Елена Иосифовна;309
ПСИ-Б-01-Д-2021-2;Пн;02.12.2024;18.50 - 20.20;Теория и практика социально-психологического тренинга в образовании, управлении и бизнесе;Практическое занятие;Реут Вероника Геннадьевна;309
ПСИ-Б-01-Д-2022-2;Вт;03.12.2024;12.10 - 13.40;Индивидуально-психологические основы поведения;Практическое занятие;Азарёнок Наталья Валерьевна;214
ПСИ-Б-01-Д-2022-2;Вт;03.12.2024;13.50 - 15.20;Индивидуально-психологические основы поведения;Практическое занятие;Азарёнок Наталья Валерьевна;214
МЕН-Б-3-Д-2023-1;Вт;03.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
МЕН-Б-3-Д-2023-1;Вт;03.12.2024;13.50 - 15.20;Анализ данных;Практическое занятие;Федотова Ольга Михайловна;203
МЕН-Б-3-Д-2023-1;Вт;03.12.2024;15.30 - 17.00;Анализ данных;Практическое занятие;Федотова Ольга Михайловна;203
МЕН-Б-3-Д-2023-1;Вт;03.12.2024;17.10 - 18.40;Институциональная экономика;Практическое занятие;Корнелюк Наталья Николаевна;203
МЕН-Б-3-Д-2023-1;Вт;03.12.2024;18.50 - 20.20;Основы менеджмента;Практическое занятие;Нарвойш Юлия Александровна;203
МЕН-Б-3-Д-2023-1;Вт;03.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
МЕН-Б-3-Д-2023-1;Вт;03.12.2024;20.30 - 22.00;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-Д-2023-1;Вт;03.12.2024;12.10 - 13.40;Элективные дисциплины по физической культуре и спорту (Спортивные танцы);Практическое занятие;Саболевский Илья Русланович;148 Спортивный зал
ПСИ-Б-04-Д-2023-1;Вт;03.12.2024;13.50 - 15.20;Социальная психология;Практическое занятие;Чернявская Ирина Юрьевна;212
ПСИ-Б-04-Д-2023-1;Вт;03.12.2024;15.30 - 17.00;Социальная психология;Практическое занятие;Чернявская Ирина Юрьевна;212
ПСИ-Б-04-Д-2023-1;Вт;03.12.2024;17.10 - 18.40;Психология личности;Практическое занятие;Станкевич Татьяна Ивановна;212
